"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
K56.609,2017,K56.60
K56.690,2017,K56.69
K56.691,2017,K56.69
K56.699,2017,K56.69
K58.1,2016,K58.9 AND K59.00
K58.2,2016,K58.9
K58.8,2016,K58.9
K59.03,2016,K59.09 AND Code from categories T36-T50
K59.04,2016,K59.09
K59.31,2016,K59.3
K59.39,2016,K59.3
K61.31,2018,K61.3
K61.39,2018,K61.3
K61.5,2018,K61.3
K82.A1,2018,K81.0
K82.A2,2018,K82.2 and K81.9
K83.01,2018,K83.0
K83.09,2018,K83.0
K85.00,2016,K85.0
K85.01,2016,K85.0
K85.02,2016,K85.0
K85.10,2016,K85.1
K85.11,2016,K85.1
K85.12,2016,K85.1
K85.20,2016,K85.2
K85.21,2016,K85.2
K85.22,2016,K85.2
K85.30,2016,K85.3
K85.31,2016,K85.3
